"","SampleID","16S COPIES/G","Treatment","Time_point","genus","color_label_group","count_relative","count_absolute","log_count.absolute"
"431","1-A-4",434433944.5629,"Control","7d","Anaerostipes","f__Lachnospiraceae",0.0141728704539037,6157176.01706836,15.6331287916069
"432","1-A-4",434433944.5629,"Control","7d","Anaerobacterium","o__Clostridiales",0.0136081593862555,5911846.36041163,15.5924687535207
"433","1-A-4",434433944.5629,"Control","7d","Anaerostipes","f__Lachnospiraceae",0.0128919404711894,5600696.5519689,15.5384015322505
"434","1-A-4",434433944.5629,"Control","7d","Anaerobacterium","o__Clostridiales",0.0127817529457946,5552827.35067001,15.5298177885591
"435","1-A-4",434433944.5629,"Control","7d","Sangeribacter","p__Bacteroidetes",0.0103576273871094,4499704.92209466,15.3195223797227
"436","1-A-4",434433944.5629,"Control","7d","Sangeribacter","p__Bacteroidetes",0.00921443181113858,4003061.9586188,15.2025701159011
"437","1-A-4",434433944.5629,"Control","7d","Alistipes","p__Bacteroidetes",0.00825029096393425,3584206.44725361,15.0920476538883
"438","1-A-4",434433944.5629,"Control","7d","Alistipes","p__Bacteroidetes",0.00806434951483055,3503427.17006174,15.0692522388106
"439","1-A-4",434433944.5629,"Control","7d","Clostridium","o__Clostridiales",0.00752718532853099,3270064.81372971,15.0003203633895
"440","1-A-4",434433944.5629,"Control","7d","Clostridium","o__Clostridiales",0.00740322436246187,3216211.96226847,14.9837148157747
"441","1-B-4",252482980.13245,"Control","7d","Duncaniella","p__Bacteroidetes",0.209153917355869,52807804.360386,17.7821695476095
"442","1-B-4",252482980.13245,"Control","7d","Duncaniella","p__Bacteroidetes",0.179436045242808,45304547.4460853,17.6289179705383
"443","1-B-4",252482980.13245,"Control","7d","Turicibacter","o__Erysipelotrichales",0.0669084834026926,16893253.2856544,16.6424248863196
"444","1-B-4",252482980.13245,"Control","7d","Turicibacter","o__Erysipelotrichales",0.0630027919297427,15907132.6630861,16.5822781617644
"445","1-B-4",252482980.13245,"Control","7d","Lactobacillus","g__Lactobacillus",0.0527381230104679,13315478.4642747,16.4044377108147
"446","1-B-4",252482980.13245,"Control","7d","Lactobacillus","g__Lactobacillus",0.0470188060173235,11871448.2655234,16.289646769718
"447","1-B-4",252482980.13245,"Control","7d","Duncaniella","p__Bacteroidetes",0.0125222940481476,3161666.11937115,14.9666096995796
"448","1-B-4",252482980.13245,"Control","7d","Duncaniella","p__Bacteroidetes",0.0116719219162722,2946961.62929366,14.896285241375
"449","1-B-4",252482980.13245,"Control","7d","Marvinbryantia","f__Lachnospiraceae",0.00761572210139747,1922840.2120214,14.4693139280459
"450","1-B-4",252482980.13245,"Control","7d","Mediterraneibacter","f__Lachnospiraceae",0.00726955291497031,1835438.38420224,14.422793912411
"451","1-B-4",252482980.13245,"Control","7d","Mediterraneibacter","f__Lachnospiraceae",0.00720934957820037,1820238.06632065,14.4144778561693
"452","1-B-4",252482980.13245,"Control","7d","Muribaculum","p__Bacteroidetes",0.00711904457304546,1797437.58949826,14.4018726472504
"453","1-B-4",252482980.13245,"Control","7d","Marvinbryantia","f__Lachnospiraceae",0.00710399373885298,1793637.51002787,14.399756244344
"454","1-B-4",252482980.13245,"Control","7d","Muribaculum","p__Bacteroidetes",0.00679545163790703,1715735.8808847,14.3553526316155
"455","1-B-4",252482980.13245,"Control","7d","Sangeribacter","p__Bacteroidetes",0.00559138490250822,1411729.52325286,14.1603261229162
"456","1-B-4",252482980.13245,"Control","7d","Sangeribacter","p__Bacteroidetes",0.00504202945448251,1273026.62258334,14.0569077905835
"457","1-B-4",252482980.13245,"Control","7d","Gracilibacter","o__Clostridiales",0.004808741524499,1214125.39079217,14.009534532576
"458","1-B-4",252482980.13245,"Control","7d","Eubacterium","o__Clostridiales",0.00474101277063281,1197025.03317538,13.9953498975841
"459","1-B-4",252482980.13245,"Control","7d","Eubacterium","o__Clostridiales",0.0045980298458042,1160924.27820659,13.9647270373701
"460","1-B-4",252482980.13245,"Control","7d","Achromobacter","p__Proteobacteria",0.00459050442870796,1159024.2384714,13.9630890353658
"461","1-C-4",667940879.904876,"Control","7d","Lactobacillus","g__Lactobacillus",0.152101113549541,101594551.618792,18.4365004658714
"462","1-C-4",667940879.904876,"Control","7d","Lactobacillus","g__Lactobacillus",0.147801349264407,98722563.2787959,18.407824082926
"463","1-C-4",667940879.904876,"Control","7d","Duncaniella","p__Bacteroidetes",0.138494676095261,92506255.8132094,18.3427868306089
"464","1-C-4",667940879.904876,"Control","7d","Duncaniella","p__Bacteroidetes",0.124116069251402,82902196.506116,18.2331721156063
"465","1-C-4",667940879.904876,"Control","7d","Turicibacter","o__Erysipelotrichales",0.0947898886450459,63314041.6276572,17.9636176891758
"466","1-C-4",667940879.904876,"Control","7d","Turicibacter","o__Erysipelotrichales",0.0880354385109323,58802468.2618037,17.8896943892294
"467","1-C-4",667940879.904876,"Control","7d","Olsenella","p__Actinobacteria",0.0334389986182232,22335274.1601939,16.9216777876066
"468","1-C-4",667940879.904876,"Control","7d","Olsenella","p__Actinobacteria",0.0331545151589043,22145256.0280581,16.9131338567112
"469","1-C-4",667940879.904876,"Control","7d","Duncaniella","p__Bacteroidetes",0.00951800373892546,6357463.79231577,15.6651400809914
"470","1-C-4",667940879.904876,"Control","7d","Duncaniella","p__Bacteroidetes",0.00949361944241242,6341176.52384699,15.6625748807818
"471","1-C-4",667940879.904876,"Control","7d","Sangeribacter","p__Bacteroidetes",0.00729903275623832,4875322.36165633,15.3996967856959
"472","1-C-4",667940879.904876,"Control","7d","Sangeribacter","p__Bacteroidetes",0.00682760302365277,4560435.17125982,15.332928609231
"473","1-C-4",667940879.904876,"Control","7d","Muribaculum","p__Bacteroidetes",0.00662440055271072,4424707.93401994,15.3027148306345
"474","1-C-4",667940879.904876,"Control","7d","Muribaculum","p__Bacteroidetes",0.0061854832154759,4131537.10158181,15.2341600752553
"475","1-C-4",667940879.904876,"Control","7d","Ruminiclostridium","o__Clostridiales",0.00590099975615704,3941518.96944599,15.1870767322185
"476","1-C-4",667940879.904876,"Control","7d","Ruminiclostridium","o__Clostridiales",0.00584410306429326,3903515.34301882,15.1773880751147
"477","1-C-4",667940879.904876,"Control","7d","Anaerobacterium","o__Clostridiales",0.00357636348858002,2388799.37542181,14.686301444306
"478","1-C-4",667940879.904876,"Control","7d","Duncaniella","p__Bacteroidetes",0.0033162643257742,2215068.51175477,14.6107938917978
"479","1-C-4",667940879.904876,"Control","7d","Duncaniella","p__Bacteroidetes",0.00325123953507275,2171635.79583801,14.5909912645016
"480","1-C-4",667940879.904876,"Control","7d","Anaerobacterium","o__Clostridiales",0.00321059904088434,2144490.34839004,14.5784124822948
"481","2-A-4",512262980.105563,"Fludarabine","7d","Duncaniella","p__Bacteroidetes",0.119677527239443,61306366.7553417,17.9313942577536
"482","2-A-4",512262980.105563,"Fludarabine","7d","Duncaniella","p__Bacteroidetes",0.109820281283554,56256864.5663445,17.8454386283379
"483","2-A-4",512262980.105563,"Fludarabine","7d","Lactobacillus","g__Lactobacillus",0.10933622009822,56008897.9409919,17.8410211278809
"484","2-A-4",512262980.105563,"Fludarabine","7d","Lactobacillus","g__Lactobacillus",0.1044692049075,53515706.2351746,17.7954857432709
"485","2-A-4",512262980.105563,"Fludarabine","7d","Turicibacter","o__Erysipelotrichales",0.088794423615145,45486096.0578499,17.6329172560756
