"oligos_id","asv_id","count"
"C013785","2beaa4928cb4a38a09f6eb54c619d4c8",30
"C013785","2c61c4f7308e6869e82df76821b97228",4
"C013785","2f3300bc6df385c3e696d64bc42d00c4",15
"C013785","315026ed7047619a96f1c564ff3812fe",10
"C013785","31c198e8f0fd3d39e9104cd17ca7ea60",3
"C013785","32538b1ee435de0882e1cccb0c560f41",128
"C013785","32a63e704a79cf25f2e3faca8d380c12",27
"C013785","37ec481596056d438f754a58f31a0b1c",18
"C013785","38c468f5cd4ef04415fdacd31bfb5e07",18
"C013785","391f1976bfe0c51cfa33b6a1b1d91451",358
"C013785","39bff7ee94907d997b0193107ed55afe",68
"C013785","3a47ad4b33c086f26eea8e258ec76698",371
"C013785","3bae971cf7250892496e0b1d77520567",2
"C013785","3c3dd1920c0a929b82d8f5c90c8a7e8b",124
"C013785","3d72f8286bad431cef1891e6416dbf32",4
"C013785","3d820c98693302c4ce3d3900b3f3360a",246
"C013785","3d9139169abbf57463c48d7da29737da",141
"C013785","3db9af69aed5d5b30f60051aeaae9813",15
"C013785","3dbdd46940d6ed01fac45fe91401adc2",17
"C013785","3e284a23c7e3951c79a8fc7840b58e1d",11224
"C013785","3f279abfe07648d45b1b6da4a0ef5ef8",678
"C013785","402b454d5f123f9eae31a0fbfd5ccea5",8
"C013785","403cfb42247f352b8ab70514eedf5c51",574
"C013785","407c68ac8e0bf3e7c5cdbe124ce6ff68",112
"C013785","408fb970a26275fc8ca119a06ac4e215",33
"C013785","40b9cf4bb09dbfb87296e00d30b1162d",32
"C013785","40cddab84dfc30c529cb2b16b7c3e3cd",200
"C013785","42496d15fcf5db3d1da4211da54c8850",7
"C013785","4253bf81af4b4d9a9e1ab4f1c1cd1cea",16
"C013785","42698386e93b6f080890af6ee15b3296",239
"C013785","4341830a92aacecc15fda36fdb3f894d",33
"C013785","43ff6217db1ca9cb2ba9dad7d3ee6fc2",1
"C013785","45db7dda081716ffcc557f1161a9abc5",38
