"oligos_id","asv_md5","count"
"C013838","153311f3f94ec149fb76d4eb5c3d661c",10
"C013838","16151df2e965ce1768c2e0e8f5c0dac2",2
"C013838","60d093df02249ffdd64573daa30fa346",21
"C013838","3e648a5ca3aa5a781432b7ea5d137c94",47
"C013838","eb51ff3c03b8e2491912884e2b99ecb5",13
"C013838","4617357625f7cd0cca1fdf0fa2ca65f6",23
"C013838","e9638122e5609bd085f7898331f8222e",30
"C013838","c9f50a0357675f550408fd440c204683",18
"C013838","e9bfd92cd7ebe540272e59f57aac4759",8
"C013838","01eef3dbad8ac2c5514aae9a90184281",41
"C013838","3d9139169abbf57463c48d7da29737da",15
"C013838","562b615787188bcf0fb14bdefc959d66",179
"C013838","d4479476313460f830050a5555d6b723",30
"C013838","6edc319d5b7b95dcc79bc3f7eed300b3",4
"C013838","3b8312a767d79e8b1335a9831b8ece3b",10
"C013838","c56be65fad26dc6fcef289dd9aa5f021",44
"C013838","a2de852b54768c56e1570d7d81dcdd40",115
"C013838","ae89aa8223bd185b1f435c05affc7fa2",31
"C013838","eb45d5adfe57855e54968ed2d292c588",34
"C013838","0e5335ecc427324f9642211f2550532f",14
"C013838","f75540faca7423f264743d65c499cdd1",56
"C013838","8a5454c097394fbef4cd6fc5a3768300",12
"C013838","e501158cfb380aa413b84b9efac06fc6",10
"C013838","2795d4edd38c24083ed82a149eb77a4b",17
"C013838","7db101848d9a36d27e16f7d289830667",7
"C013838","a097907bb7040b8ff24e6dae91108e57",13
"C013838","9d2ed604a04d940c0d7895a8af961e59",5
"C013838","37fc4a0502f5afca7537a171cde8cd38",75
"C013838","0590c5d4d15cd74838e48e7d64127b31",5
"C013838","a778d89417ab5bc0165a6845ab090847",44
"C013838","fc84a63da27724ea0fa34f1001551ab4",45
"C013838","2ac791064085537aefd7209b9c3bcaaa",29
"C013838","c5498b3cb98b2304a07fff11edec1a62",4
"C013838","8052db60f1d703aaa8fd15a38b267644",21
"C013838","f90041d19f4bbedd8fbdcbbe8dd6b903",24
"C013838","1459d7ce6b611c1237eca466616c0249",12
"C013838","4451f128ee4f644bdbf96150bfefeaeb",57
"C013838","49603a4b69d1f979406dd09581414e75",27
"C013838","e6b70d3e5b988f4b4e6785a7c8c317df",8
"C013838","10e1240541ba85dee108a84a1ebb7fa6",10
"C013838","e41ee592377ec657dd4cf5eac86f89aa",9
"C013838","bee3121130bdbfe3752dfb0b8263cc85",5
"C013838","b07e98d8cb72b375ae38d1a933282818",2
"C013838","b7f2ce71baf9fa5e19b1d52a06aee71e",28
"C013838","104a1c8c1d786a53b91015a8452105ab",17
"C013838","c6f0827fb591a421023592676e0fac3a",6
"C013838","5c4ff39b1a8ab21078877af073d3a71a",7
"C013838","d0b17d4a44d10e6e66b846cca6a0de5c",9
"C013838","8fb54a65ba456b357f66fa3217000321",14
"C013838","1a384eab0087503560e19814ad080bf1",7
"C013838","ae19f1b31eaa8bcc3b106375f9a522c1",11
"C013838","1d5e161ca0f974bd1c4f96f8081b29d6",12
"C013838","67a230332ccbb8f4c1a0be41b3f12b93",11
"C013838","340af30ac515f8bf55d3c5606a9c8748",16
"C013838","a5718641e660d5a27303aa8371dc6a39",34
"C013838","0173407a5eb79c4829e55f4132975052",47
"C013838","df1c750919fa524a83b7c8505927432e",4
"C013838","5c2788145cd7fbdbe71bfb16b7b452b2",16
"C013838","df9f318c9faba8173f2cdb5364b1f210",4
"C013838","f636c60d21091835cb67275c565c58f7",16
"C013838","862c761cf8e8aeea7b6bdf94cb02ae46",4
"C013838","db98168197a84c6eedef7bbae81d30f4",8
"C013838","fa3a99ae9af3447ed04d980ec9fd67f2",5
"C013838","6667b3a4c478a3e13fcf5c5652c98a8e",8
"C013838","d2bfc1cfa8620ec266271ba7a634977b",13
"C013838","6a194f842f50581a2e1abb31545f2197",4
"C013838","4253bf81af4b4d9a9e1ab4f1c1cd1cea",6
"C013838","a7686bf8ee09e71439fd778bdf96045c",5
"C013838","6c496d5a0c1da5a3a0d019f27d97d464",10
"C013838","0f36ead5f45a605bd1a10c88db440518",26
"C013838","5d2a91da9f5e62a64f605c25a4a35ff5",10
"C013838","00bd67c6374833d81b59d7abe00bf603",12
"C013838","b2ba36ccfbff9553cf8f03a74bd1859d",5
"C013838","73e8df092c0ac553dd39fca68579789e",24
"C013838","f7350ce2f530627a1dfcf26b079574ea",19
"C013838","16ff69387352416ff497eb89f373ee74",7
"C013838","47a21b54b55b6ec881a5aac5e58716fd",7
"C013838","538447b27ff18ea1796f4ce8946a950a",5
"C013838","7f53732ee5d917cd84c950b73a4e2885",11
"C013838","fb587153ce8fb98019943a5b7351c638",17
"C013838","00496998cea3c2ecf4a05ce39d64abd1",15
"C013838","d1959168ae381ed056ed9143e1bc421c",9
"C013838","5ee7e2d3bc482f8abda0532b25eb7f62",10
"C013838","578d354c5a06c173ac96bc7ed5ca3757",6
"C013838","f216148075803d0957f7e75fa94a16f5",2
"C013838","898a5b70763dc395bbd67d83e6f964cf",21
"C013838","dbdef85c55760c282fa8937a6daa03f7",2
"C013838","791ecd05cd033a6d54fc6d260afcb14b",9
"C013838","11adfffe09829d41a8a8ff1ac2ff1793",8
"C013838","d2425c713782b7b52dbefa33c9eab285",8
"C013838","df8757b94262df9b8ada2c90487e76f9",6
"C013838","96bd1a82dd8d3d78b87affd54fb0482d",6
"C013838","2e83193d46b918a74b071225eb038a54",5
"C013838","0a034cef3c90ebfff2bde4f2dac0f9c3",4
"C013838","a4c9c5a32cc78bb1f64d6db502b54d33",1
"C013838","3c5505228bc6056ebe3ed8864b097dc4",3
"C013838","6916cee4a7fc798ca62f66223e883e8a",3
"C013838","66f101775df7aef2420f7d67f5665d17",2
"C013838","e4be22d0f9c0a70c9f9167ba2fda5274",2
"C013838","158dd5d8a0c81d56b8133aae7014d13c",2
"C013839","d9f6dae59e085f8c5ef3fd45fcfd271f",3264
"C013839","ff4168f7dcc985c792c8d4ba79ca410e",2976
"C013839","086e03b8b3b3aab02a74bfee48279145",296
"C013839","22906dbbc966f0b092d8930fbf844b36",238
"C013839","1eeb84bdb0f4c9b676a349570510da80",1138
"C013839","3e284a23c7e3951c79a8fc7840b58e1d",1134
"C013839","e980674deef10b8eb25f03073b8a876d",98
"C013839","4341830a92aacecc15fda36fdb3f894d",216
"C013839","a578695a6ce9b9ae43c22aa71e44aab5",4449
"C013839","b9ec8c7459ca9383e76b6ca9b415ade5",3935
"C013839","0df7be7fe559acd1c045dc8a7ceb8793",1507
"C013839","dc1217df2cdede4f24cbe9d348298f2f",1378
"C013839","783aee24cbdbce7e111cc6d05e5348d0",69
"C013839","c63fee580dc2ab4930311598ced1d31c",285
"C013839","5e0eda046447a51941b516476494eb49",294
"C013839","635c747d1aecc4045716d96334169bc0",79
